DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMk3.CurrPred,GFDL.GAMk3.CurrPred,IPSL.GAMk3.CurrPred,MIROC5.GAMk3.CurrPred,MRI.GAMk3.CurrPred,ACCESS.GAMk3.FutrPred,GFDL.GAMk3.FutrPred,IPSL.GAMk3.FutrPred,MIROC5.GAMk3.FutrPred,MRI.GAMk3.FutrPred,ACCESS.GAMk10.CurrPred,GFDL.GAMk10.CurrPred,IPSL.GAMk10.CurrPred,MIROC5.GAMk10.CurrPred,MRI.GAMk10.CurrPred,ACCESS.GAMk10.FutrPred,GFDL.GAMk10.FutrPred,IPSL.GAMk10.FutrPred,MIROC5.GAMk10.FutrPred,MRI.GAMk10.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred,bestmodel.bayesian.meanCurrPreds,bestmodel.bayesian.varCurrPreds,bestmodel.bayesian.meanFutrPreds,bestmodel.bayesian.varFutrPreds
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015,1642.736901,1659.317582,1660.654589,1657.775416,1554.746897,2049.131934,2144.603317,2050.830435,1908.762302,1896.911238,Analog,Analog,Analog,Analog,Analog,0.12950255,0.132399089,0.135344536,0.12016508,0.134856088,0.964193211,0.719850771,0.97164781,0.987554553,0.942417893,0.062224739,0.059631382,0.063770378,0.057328091,0.066226023,0.930838399,0.819356741,0.936258308,0.930882101,0.930548865,0.207773333,0.187366667,0.188626667,0.19759,0.183246667,0.955836667,0.83439,0.956926667,0.955346667,0.927866667,0.075770634,0.001000882,0.933146762,5.20E-04
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678,1727.236824,1737.933376,1736.237002,1735.575177,1631.397504,2135.511171,2239.607862,2140.67691,1992.239073,1973.808146,Analog,Analog,Analog,Analog,Analog,0.264912529,0.257479123,0.273848479,0.250924529,0.284259074,0.992179146,0.913472259,0.994842407,0.997825399,0.986927037,0.227526279,0.21020426,0.241236469,0.217292772,0.258393236,0.951906802,0.947403232,0.954238226,0.947911975,0.960829848,0.63694,0.547363333,0.553823333,0.567613333,0.553376667,0.893526667,0.919133333,0.885016667,0.872133333,0.90723,0.233032671,0.001836702,0.956132114,8.35E-04
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541,1551.910786,1566.456673,1567.915031,1561.256641,1456.328543,1964.831791,2051.829077,1967.441239,1816.0165,1800.237945,Analog,Analog,Analog,Analog,Analog,0.155259819,0.153258717,0.155007552,0.158968171,0.154266256,0.939350311,0.613595806,0.948549001,0.978260274,0.884828617,0.132945562,0.133404783,0.128484751,0.132728708,0.127003745,0.96853377,0.701094644,0.972737089,0.979832017,0.950519918,0.03486,0.034706667,0.063286667,0.0347,0.08982,0.94382,0.723846667,0.93763,0.915996667,0.930523333,0.131594313,9.46E-04,0.951919315,5.29E-04
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914,1556.520426,1575.2034,1583.457328,1575.904947,1467.413418,1979.073826,2066.681663,1983.365157,1832.835602,1813.162562,Analog,Analog,Analog,Analog,Analog,0.149991594,0.154786707,0.158310791,0.15569359,0.153947288,0.947698152,0.648131946,0.957530747,0.981487785,0.898323968,0.125002137,0.122881043,0.119861069,0.12425353,0.119178119,0.969662158,0.759071065,0.973852815,0.979173721,0.955993705,0.021736667,0.021396667,0.019196667,0.03656,0.022083333,0.93209,0.752666667,0.917306667,0.915406667,0.92463,0.124637221,8.26E-04,0.956545917,4.30E-04
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983,1798.522816,1832.122308,1790.6551,1813.105195,1682.478775,2265.247856,2388.251518,2265.347069,2092.774596,2087.332096,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.728926374,0.726088429,0.698198299,0.758783312,0.705667567,0.999725051,0.994350678,0.999823236,0.999941384,0.999466219,0.785004958,0.793536779,0.753772289,0.829978405,0.75914147,0.977904151,0.987122573,0.975307265,0.97476577,0.982415822,0.92026,0.92497,0.896266667,0.892026667,0.89206,0.84452,0.974266667,0.857393333,0.85034,0.920733333,0.779282799,0.00271104,0.969030942,0.003963273
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752,1918.453501,1955.268781,1914.736457,1938.454202,1811.722968,2389.358453,2519.848045,2390.365072,2214.155017,2212.039581,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.723372925,0.751042885,0.728969448,0.756829498,0.750006345,0.999815064,0.996342764,0.999902654,0.99996281,0.999701292,0.814284167,0.83842672,0.819015761,0.834465851,0.833568956,0.782379483,0.875694743,0.726669846,0.755623627,0.78953589,0.975683333,0.981513333,0.978683333,0.98501,0.980686667,0.86692,0.941696667,0.87161,0.867876667,0.867613333,0.819878395,0.001686548,0.785123802,0.077948857
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897,1933.77639,1971.260174,1931.201118,1954.224179,1828.209355,2405.948799,2537.868795,2407.144546,2231.560325,2229.786853,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.627511629,0.667705613,0.645250945,0.66769941,0.668047947,0.999725627,0.994797793,0.999861116,0.999945485,0.999576694,0.631565701,0.667619151,0.649788054,0.654588182,0.664525912,0.521412154,0.679718706,0.445075867,0.477023989,0.52389567,0.689893333,0.73184,0.720876667,0.71841,0.73566,0.63937,0.727356667,0.675673333,0.664926667,0.6533,0.660582335,0.007221113,0.666277009,0.103190598
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948,2030.384533,2065.920478,2037.483564,2056.580963,1923.356875,2509.195941,2651.232163,2513.706538,2328.925591,2325.427354,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.943331987,0.956366611,0.958303304,0.950206456,0.956396218,0.999977055,0.999520999,0.999990099,0.999996051,0.99996462,0.917606265,0.919517837,0.925342235,0.922193026,0.925651272,0.72273839,0.828674428,0.612288956,0.694922675,0.702128638,0.975943333,0.95698,0.979176667,0.9724,0.968396667,0.854226667,0.85589,0.864193333,0.857676667,0.860196667,0.92524189,7.26E-04,0.738060811,0.113962215
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147,1945.454083,1988.41855,1946.246936,1969.345972,1842.612384,2421.345687,2553.226248,2425.822894,2248.806929,2250.062177,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.750482013,0.788827653,0.772425553,0.789504844,0.787811298,0.999857725,0.997347135,0.999931802,0.999970516,0.999797555,0.733224568,0.762851591,0.753035976,0.752339271,0.760350849,0.592280468,0.733202763,0.502686646,0.541300804,0.577075268,0.711576667,0.7187,0.697576667,0.72087,0.710296667,0.559303333,0.558513333,0.573733333,0.562276667,0.55415,0.763920504,0.006184277,0.701154708,0.100649672
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435,1913.475687,1949.384248,1920.167694,1935.397709,1807.859938,2375.447483,2498.838033,2372.804146,2201.602415,2191.262716,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.654371287,0.693620474,0.6969069,0.69031431,0.688105318,0.999701496,0.994265916,0.999830912,0.999932999,0.999446648,0.739301158,0.776342125,0.77309877,0.763568508,0.767203922,0.724257765,0.83768308,0.670649738,0.695980328,0.743988382,0.965016667,0.975856667,0.96894,0.969933333,0.962916667,0.879593333,0.964033333,0.883553333,0.878776667,0.88172,0.75704063,0.002652391,0.761715354,0.078541304
